area_km2,classification,sub_classification,load_timestamp,report_date
"3.38","فردي","	طريق مجمع","2024-07-27 15:08:23","2023-12-31"
"3.36","فردي","طريق مجمع","2020-02-03 15:26:35","2018-12-31"
"7.06","مزدوج","طريق مجمع","2021-08-05 12:28:55","2020-12-31"
"4.13","مزدوج","طريق سريع","2020-02-03 15:26:35","2018-12-31"
"7.01","مزدوج","طريق مجمع ","2022-01-31 20:22:24","2018-12-31"
"3.98","فردي","طريق رئيسي ","2022-01-31 20:22:24","2018-12-31"
"9.87","مزدوج","طريق رئيسي ","2022-01-31 20:22:24","2018-12-31"
"14.7","فردية	","طرق محلية سكنية	","2024-07-27 15:05:53","2022-12-31"
"9.46","المساحة المعبدة - طريق مجم- المنفذه من قبل المطوري","مزدوج ","2025-08-15 19:11:29","2024-12-31"
"3.46","	فردي	","طريق حر	","2024-07-27 15:05:53","2022-12-31"
"5.57","	مزدوج	","طريق سريع	","2024-07-27 15:05:53","2022-12-31"
"10.92","المساحة المعبدة - طريق حر","مزدوج ","2025-08-15 19:11:29","2024-12-31"
"5.16","مزدوج","طريق سريع","2022-02-03 17:57:46","2021-12-31"
"4.8"," طريق مجمع","فردي","2025-08-15 19:11:29","2024-12-31"
"10.77","مزدوج","	طريق حر","2024-07-27 15:08:23","2023-12-31"
