buses_num,load_timestamp,report_date
"6625","2020-04-06 20:14:42","2019-12-31"
"5924","2022-02-03 17:52:20","2021-01-20"
"6625","2020-04-06 15:41:42","2019-12-31"
"6625","2020-02-03 15:28:19","2018-12-20"
"7443","2024-09-02 21:12:49","2023-12-31"
"6612","2025-10-17 20:12:56","2024-12-31"
"7443","2023-08-27 16:28:23","2022-12-31"
