month,year,trips,transport_type,load_timestamp
"Jan","2026","253","Arjan,","2026-02-27 02:23:27"
"Jan","2026","238","Al Rig","2026-02-27 02:23:27"
"Jan","2026","1075","Mercat","2026-02-27 02:23:27"
"Jan","2026","591","Satwa,","2026-02-27 02:23:27"
"Jan","2026","246","Wasl, ","2026-02-27 02:23:27"
"Jan","2026","508","Dubai ","2026-02-27 02:23:27"
"Jan","2026","76","Al Bar","2026-02-27 02:23:27"
"Jan","2026","9365","Al Nah","2026-02-27 02:23:27"
"Jan","2026","320","Al Quo","2026-02-27 02:23:27"
"Jan","2026","64","Rehabi","2026-02-27 02:23:27"
"Jan","2026","208","Shoba ","2026-02-27 02:23:27"
"Jan","2026","7","Rebat ","2026-02-27 02:23:27"
"Jan","2026","281","Ibn Ba","2026-02-27 02:23:27"
"Jan","2026","25300","Al Ghu","2026-02-27 02:23:27"
"Jan","2026","32915","Noor B","2026-02-27 02:23:27"
"Jan","2026","48","Al Min","2026-02-27 02:23:27"
"Jan","2026","3","Deira,","2026-02-27 02:23:27"
"Jan","2026","19014","Gold S","2026-02-27 02:23:27"
"Jan","2026","56","Al Ras","2026-02-27 02:23:27"
"Jan","2026","70","DIP 2,","2026-02-27 02:23:27"
"Jan","2026","13","Deira,","2026-02-27 02:23:27"
"Jan","2026","269","Silico","2026-02-27 02:23:27"
"Jan","2026","331","Ibn Ba","2026-02-27 02:23:27"
"Jan","2026","102","Land m","2026-02-27 02:23:27"
"Jan","2026","38","Ducast","2026-02-27 02:23:27"
"Jan","2026","1467","Dubai ","2026-02-27 02:23:27"
"Jan","2026","740","Al Khu","2026-02-27 02:23:27"
"Jan","2026","48","Rehabi","2026-02-27 02:23:27"
"Jan","2026","1312","Al Qus","2026-02-27 02:23:27"
"Jan","2026","671","Al Quo","2026-02-27 02:23:27"
"Jan","2026","254","Al Nah","2026-02-27 02:23:27"
"Jan","2026","314","Garhou","2026-02-27 02:23:27"
"Jan","2026","399","Mirdif","2026-02-27 02:23:27"
"Jan","2026","2074","Galada","2026-02-27 02:23:27"
"Jan","2026","179","Al Qus","2026-02-27 02:23:27"
"Jan","2026","4072","Naif I","2026-02-27 02:23:27"
